,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Data
274,iqaluit,63.75,-68.51,23.0,86.0,90.0,4.61,CA,1619163266
275,wasilla,61.58,-149.44,44.6,60.0,1.0,6.11,US,1619163183
276,sao filipe,14.9,-24.5,71.44,74.0,82.0,9.26,CV,1619163267
277,vila do maio,15.13,-23.22,68.0,77.0,20.0,10.36,CV,1619163268
278,makasar,-5.14,119.42,89.6,62.0,20.0,9.22,ID,1619163268
279,ulladulla,-35.35,150.47,64.0,45.0,1.0,8.05,AU,1619163271
280,verkhniye tatyshly,56.29,55.86,42.39,85.0,100.0,6.42,RU,1619163272
281,yichun,47.7,128.9,48.72,69.0,100.0,6.98,CN,1619163272
282,la ronge,55.1,-105.28,21.2,63.0,28.0,3.44,CA,1619163273
283,hachinohe,40.5,141.5,50.13,51.0,0.0,4.07,JP,1619163274
284,nanortalik,60.14,-45.24,34.68,85.0,54.0,7.96,GL,1619163274
285,muros,42.78,-9.06,55.0,93.0,100.0,1.01,ES,1619163275
286,dhidhdhoo,6.88,73.1,83.62,71.0,49.0,6.42,MV,1619163275
287,eyl,7.98,49.82,87.76,56.0,98.0,9.4,SO,1619163276
288,saldanha,-33.01,17.94,55.4,94.0,90.0,5.75,ZA,1619163276
289,hilo,19.73,-155.09,75.2,73.0,90.0,6.91,US,1619163215
290,sabha,27.04,14.43,87.24,11.0,97.0,26.73,LY,1619163277
291,puerto suarez,-18.95,-57.8,70.45,57.0,13.0,3.27,BO,1619163278
292,manggar,-2.88,108.27,83.86,67.0,74.0,8.46,ID,1619163278
293,pafos,34.77,32.42,71.01,72.0,20.0,9.22,CY,1619163006
294,nizhniy baskunchak,48.22,46.83,57.76,51.0,100.0,8.66,RU,1619163279
295,yatou,37.15,122.38,52.29,81.0,100.0,14.34,CN,1619163280
296,mount isa,-20.73,139.5,82.4,16.0,7.0,13.8,AU,1619163064
297,alice springs,-23.7,133.88,75.2,27.0,0.0,10.36,AU,1619163208
298,georgetown,5.41,100.34,89.6,66.0,20.0,6.91,MY,1619163281
299,bouna,9.27,-3.0,83.34,61.0,95.0,5.93,CI,1619163282
300,new norfolk,-42.78,147.06,54.0,64.0,99.0,5.01,AU,1619163282
301,staryy nadym,65.61,72.68,35.22,100.0,100.0,18.12,RU,1619163283
302,araouane,18.9,-3.53,89.55,10.0,29.0,2.57,ML,1619163283
303,torbay,47.67,-52.73,37.0,93.0,90.0,25.32,CA,1619163284
304,san jeronimo,-11.95,-75.28,42.12,93.0,67.0,0.74,PE,1619163285
305,necochea,-38.55,-58.74,60.01,98.0,100.0,1.01,AR,1619163285
306,derzhavinsk,51.1,66.32,50.59,26.0,100.0,16.2,KZ,1619163286
307,bourne,52.77,-0.38,46.0,87.0,0.0,2.3,GB,1619163287
308,ostrovnoy,68.05,39.51,35.85,87.0,99.0,10.33,RU,1619163287
309,tsiroanomandidy,-18.77,46.03,79.2,54.0,2.0,7.74,MG,1619163288
310,lake city,30.19,-82.64,48.99,93.0,1.0,4.56,US,1619163057
311,maridi,4.92,29.47,84.22,50.0,100.0,6.26,SS,1619163289
312,pangnirtung,66.15,-65.71,23.92,81.0,100.0,3.04,CA,1619163289
313,natal,-5.79,-35.21,75.2,94.0,20.0,4.61,BR,1619163157
314,deloraine,-41.53,146.67,55.0,72.0,93.0,4.72,AU,1619163290
315,vila velha,-20.33,-40.29,68.0,88.0,20.0,3.44,BR,1619163290
316,vanimo,-2.67,141.3,81.25,84.0,100.0,5.84,PG,1619163291
317,namatanai,-3.67,152.43,75.74,92.0,100.0,4.88,PG,1619163292
318,chicama,-7.84,-79.15,68.99,78.0,37.0,3.47,PE,1619163292
319,kaitangata,-46.28,169.85,55.0,78.0,100.0,4.0,NZ,1619163293
320,dicabisagan,17.08,122.42,83.95,66.0,22.0,5.44,PH,1619163294
321,ayagoz,47.97,80.44,36.1,52.0,100.0,18.7,KZ,1619163294
322,aripuana,-9.17,-60.63,70.25,98.0,37.0,1.21,BR,1619163295
323,akyab,20.15,92.9,87.22,67.0,0.0,17.36,MM,1619163295
324,turukhansk,65.82,87.98,32.38,99.0,100.0,15.12,RU,1619163296
325,alangudi,10.36,78.98,100.4,39.0,40.0,6.91,IN,1619163299
326,tautira,-17.73,-149.15,78.8,78.0,20.0,2.3,PF,1619163299
327,aksu,41.12,80.26,60.84,15.0,2.0,2.57,CN,1619163300
328,pombas,17.15,-25.02,68.0,68.0,40.0,17.27,CV,1619163301
329,loughrea,53.2,-8.57,48.2,66.0,0.0,11.5,IE,1619163301
330,luena,-11.78,19.92,71.6,73.0,0.0,9.22,AO,1619163302
331,saint anthony,45.02,-93.22,51.8,46.0,90.0,4.61,US,1619163302
332,yulara,-25.24,130.99,78.8,24.0,3.0,10.36,AU,1619163303
333,loukhi,66.08,33.04,38.53,73.0,100.0,9.93,RU,1619163304
